Billing Name,Site Address,Site City,Zip Code,SA Status,Activity,Descriptor,Account #,Meter #,NEM?,SA ID,Sp Id,Prsn Id,NAICS Code,Year of Bill End Date,Bill End Date,Rate,Service Provider,Tot Bill Amt (PG&E),Days,Charges/(kWh or Therm usage),PG&E Revenue Amount ($),ESP Total Revenue Amount ($),Tax Amount ($),Total Bill Amount ($),On Peak (kWh),Partial Peak (kWh),Off Peak Usage (kWh),Super Off Peak (kWh),Total Usage (kWh),Total Usage (Therms),Hours,Max. Max Demand (kW),On Peak (kW),Partial Peak (kW),Off Peak (kW),Super Off Peak (kW)
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2025,5/11/2025,HB19S,CCA (Comm Choice Aggregation),$277.90,31,$0.00,$164.71,"$9,693.76",$113.19,"$9,971.66","26,176",0,"56,206","29,686","112,068",0,411,272,254,0,272,266
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2025,4/10/2025,HB19S,CCA (Comm Choice Aggregation),-$603.55,29,-$0.01,-$696.71,"$7,904.03",$93.16,"$7,300.48","21,009",0,"46,607","24,617","92,234",0,455,203,200,0,200,203
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2025,3/12/2025,HB19S,CCA (Comm Choice Aggregation),"-$1,173.76",30,-$0.01,"-$1,270.96","$9,330.48",$97.20,"$8,156.72","21,773",0,"64,165","10,295","96,232",0,472,204,193,0,204,198
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2025,2/10/2025,HB19S,CCA (Comm Choice Aggregation),-$695.07,29,-$0.01,-$809.71,"$12,036.61",$114.64,"$11,341.54","26,924",0,"86,585",0,"113,509",0,438,259,242,0,259,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2025,1/12/2025,HB19S,CCA (Comm Choice Aggregation),"-$1,157.71",32,-$0.01,"-$1,293.49","$14,801.25",$135.78,"$13,643.54","32,042",0,"103,232",0,"135,275",0,510,265,250,0,265,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,12/11/2024,HB19S,CCA (Comm Choice Aggregation),"$1,277.97",30,$0.01,"$1,166.03","$12,325.54",$111.94,"$13,603.51","26,458",0,"85,486",0,"111,944",0,444,252,239,0,252,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,11/11/2024,HB19S,CCA (Comm Choice Aggregation),-$268.25,32,$0.00,-$411.19,"$15,605.90",$142.94,"$15,337.65","32,630",0,"110,306",0,"142,936",0,520,275,272,0,275,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,10/10/2024,HB19S,CCA (Comm Choice Aggregation),"$7,178.92",29,$0.05,"$7,037.70","$20,819.27",$141.22,"$27,998.19","33,524","15,571","92,121",0,"141,216",0,439,322,322,293,318,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,9/11/2024,HB19S,CCA (Comm Choice Aggregation),"$9,642.72",30,$0.06,"$9,491.86","$25,063.94",$150.86,"$34,706.66","36,102","26,699","88,056",0,"150,857",0,493,306,302,306,302,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,8/12/2024,HB19S,CCA (Comm Choice Aggregation),"$10,469.35",31,$0.06,"$10,306.96","$26,807.72",$162.39,"$37,277.07","38,945","28,700","94,740",0,"162,385",0,489,332,317,332,331,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,7/12/2024,HB19S,CCA (Comm Choice Aggregation),"$9,811.61",31,$0.06,"$9,633.33","$31,073.84",$178.28,"$40,885.45","39,608","29,034","95,221",0,"163,863",0,488,336,329,336,331,0
AMERICAN BAPTIST HOMES OF THE WEST,800 BLOSSOM HILL RD BLDG A,LOS GATOS,95032,Active,"BLDG A,B,C,W,X",,5663820649,1010100171,,5663820753,8111783005,9147588678,623311,2024,6/11/2024,HB19S,CCA (Comm Choice Aggregation),"$4,151.90",29,$0.03,"$3,989.66","$19,878.73",$162.24,"$24,030.63","33,131","9,762","76,736","21,451","141,081",0,449,314,308,314,311,289
